date,city,latitude,longitude,temperature,humidity,pm25,pm10,co,no2,so2,o3,aqi,category,rainfall
2026-08-01,Delhi,28.6139,77.209,31,62,55,90,0.8,32,12,28,105,Moderate,0
2026-08-01,Mumbai,19.076,72.8777,30,75,40,70,0.6,20,10,24,80,Satisfactory,5
2026-08-01,Kolkata,22.5726,88.3639,29,78,60,100,0.9,35,15,30,120,Moderate,8
2026-08-01,Chennai,13.0827,80.2707,33,72,35,60,0.5,18,8,22,65,Satisfactory,2
2026-08-01,Bengaluru,12.9716,77.5946,27,68,28,50,0.4,15,7,20,45,Good,1
2026-08-01,Hyderabad,17.385,78.4867,32,60,52,88,0.7,28,11,26,98,Satisfactory,0
2026-08-01,Pune,18.5204,73.8567,29,66,33,58,0.5,17,9,21,58,Satisfactory,3
2026-08-01,Lucknow,26.8467,80.9462,34,58,75,120,1.0,40,18,35,155,Unhealthy,0
2026-08-01,Jaipur,26.9124,75.7873,36,42,68,110,0.9,38,17,33,145,Moderate,0
2026-08-01,Bhopal,23.2599,77.4126,30,64,42,72,0.6,22,10,25,82,Satisfactory,4
